Date,New Cases,Cases,Infected,Recovered,Dead
28-Jan-20,1,1,1,0,0
29-Jan-20,0,1,1,0,0
30-Jan-20,0,1,1,0,0
31-Jan-20,0,1,1,0,0
01-Feb-20,0,1,1,0,0
02-Feb-20,2,3,3,0,0
03-Feb-20,0,3,3,0,0
04-Feb-20,0,3,3,0,0
05-Feb-20,0,3,3,0,0
06-Feb-20,0,3,3,0,0
07-Feb-20,0,3,3,0,0
08-Feb-20,0,3,3,0,0
09-Feb-20,0,3,3,0,0
10-Feb-20,0,3,3,0,0
11-Feb-20,0,3,3,0,0
12-Feb-20,0,3,3,0,0
13-Feb-20,0,3,3,0,0
14-Feb-20,0,3,3,0,0
15-Feb-20,0,3,3,0,0
16-Feb-20,0,3,3,0,0
17-Feb-20,0,3,3,0,0
18-Feb-20,0,3,3,0,0
19-Feb-20,0,3,3,0,0
20-Feb-20,0,3,3,0,0
21-Feb-20,0,3,3,0,0
22-Feb-20,0,3,3,0,0
23-Feb-20,0,3,3,0,0
24-Feb-20,1,4,4,0,0
25-Feb-20,0,4,3,1,0
26-Feb-20,0,4,3,1,0
27-Feb-20,2,6,5,1,0
28-Feb-20,0,6,5,1,0
29-Feb-20,5,11,7,4,0
01-Mar-20,4,15,11,4,0
02-Mar-20,3,18,14,4,0
03-Mar-20,2,20,16,4,0
04-Mar-20,0,20,16,4,0
05-Mar-20,2,22,18,4,0
06-Mar-20,3,25,21,4,0
07-Mar-20,3,28,24,4,0
08-Mar-20,1,29,25,4,0
09-Mar-20,5,34,29,4,1
10-Mar-20,2,36,31,4,1
11-Mar-20,5,41,36,4,1
12-Mar-20,1,42,37,4,1
13-Mar-20,32,74,69,4,1
14-Mar-20,5,79,74,4,1
15-Mar-20,25,104,99,4,1
16-Mar-20,73,177,168,5,4
17-Mar-20,8,185,176,5,4
18-Mar-20,36,221,209,5,7
19-Mar-20,36,257,245,5,7
20-Mar-20,51,308,294,6,8
21-Mar-20,69,377,361,6,10
22-Mar-20,48,425,409,6,10
23-Mar-20,78,503,390,100,13
24-Mar-20,85,588,402,173,13
25-Mar-20,42,659,462,183,14
26-Mar-20,66,725,525,186,14
27-Mar-20,67,792,501,275,16
28-Mar-20,92,884,472,396,16
29-Mar-20,92,884,472,396,16
30-Mar-20,70,970,482,469,19
31-Mar-20,43,1013,482,507,24
01-Apr-20,53,1066,435,606,25
02-Apr-20,55,1121,449,641,31
03-Apr-20,53,1174,466,673,35
04-Apr-20,29,1203,461,704,38
05-Apr-20,26,1229,407,783,39
06-Apr-20,37,1266,444,783,39
07-Apr-20,25,1291,443,805,43
08-Apr-20,45,1336,450,838,48
09-Apr-20,34,1370,482,838,50
